id,Company,Title,Location,Responsibilities,Minimum Qualifications,Preferred Qualifications
11,Google,"Technical Solutions Consultant, Google Technical Services (English, German)","Hamburg, Germany","Work closely with our Sales team to identify, develop, and optimize new business opportunities and develop client relationships by leveraging Google products and technologies. Develop cutting-edge solutions as the technical lead, provide consulting services to our partners, build lasting relationships and be sensitive to client needs.
Help partners in their day-to-day challenges by delivering innovative and scalable solutions and troubleshooting their issues.
Propose, design, create and present prototypes, demos and proofs-of-concept to a wide variety of audiences, from engineers to marketing professionals.
Perform implementation reviews. Advocate for new product features, and provide partner feedback to internal cross-functional teams including Product Management and Engineering.
Travel as required to meet with specific partners/clients internationally.","BA/BS degree in Computer Science or a related technical subject, or equivalent practical experience.
Experience with web technologies such as HTML, CSS, JavaScript and HTTP.
Experience in one or more programming languages, including Java, C++, Python, etc.
Ability to speak and write in English and German fluently and idiomatically.","Experience working with and managing external partners/customers.
Familiarity with SQL/MySQL and Unix/Linux operating systems/commands.
Demonstrated ability to adapt your message to the technical level of the audience and comfort presenting technical materials to groups of any size and background.
Excellent project management skills and attention to detail.
Excellent problem solving, analytical and troubleshooting skills."
12,Google,"Chief of Staff, Google Hardware","Mountain View, CA, United States","Develop a key performance indicators (KPI) dashboard and competitive insights for use by Executive team to manage the business. Establish and lead operating processes and tools for effectively managing the organization, including actively tracking key trends in lagging/leading metrics.
Provide insightful data-driven strategic recommendations to leadership. Communicate findings from initiatives to management and the broader organization.
Partner closely with other functions relevant to the team, including Product and Engineering, Communications, PR, Marketing, Finance, Legal and Operations. Use cross-functional knowledge and seek to understand issues, trends and perspectives that may influence the business.
Drive the Leadership team towards clear, efficient and accountable decision making. Distill and cascade core tenets of our strategy for board, leadership and other internal and external stakeholders.","BA/BS degree or equivalent practical experience.
12 years of experience in Strategy, Stakeholder and Project Management.
Experience in Finance, Strategy and Management Consulting.","MBA and/or graduate degree.
Experience partnering effectively with cross-functional teams or projects.
Experience working with external C-level partners and an understanding of consumer products including retail distribution.
Ability to work across multiple functions - including Sales, Communications, Finance, with working knowledge of Product, Engineering, Marketing, Legal, HR and Operations.
Ability to effectively influence and communicate cross-functionally with all levels of management with exceptional verbal and written communication skills.
Effective Program Management skills, with demonstrated ability to lead complex strategic and operational initiatives."
13,Google,"Measurement Solutions Consultant, Google Technical Services","Dublin, Ireland","Guide partners and clients through the entire implementation process.
Consult with stakeholders to define the project structure, requirements and priorities.
Manage customer expectations of product delivery by establishing a trusted relationship and regularly communicating project status and requirements.
Identify potential opportunities for service partner development and education.
Investigate and track client concerns and collaborate to resolve any account issues. Work with other departments within GA360 to actively manage and resolve project-related issues.","Experience managing analytics solutions.
Experience managing client expectations, requirements. Experience in conflict resolution.
Ability to speak and write in English fluently and idiomatically.","Experience using and/or deploying digital analytics and measurement solutions.
Experience with SaaS model.
Experience with data analytics, big data and data warehouses. Experience with the data flow process – ingesting, manipulating and running reports.
Knowledge of data driven attribution, methodology and attribution solutions. Familiarity with digital media (display, paid search, video ads, mobile ads, email marketing, affiliates).
Understanding of database tables. Familiar with SQL and relational databases.
Demonstrated project management skills (setting timelines, milestones, expectations, cross-functional team management, organization and prioritization)."
14,Google,"Big Data Product Specialist, Google Cloud (English)","Milan, Italy","Work as part of the Sales team to identify and qualify platform opportunities, and determine if Google Cloud Platform is right for them. Identify business and technical requirements, conduct full technical discovery and architect client solutions to meet gathered requirements.
Take responsibility for leading technical projects, including such activities as technology advocacy, supporting bid responses, product and solution briefings, proof-of-concept work, and the coordination of supporting technical resources.
Work hands-on with Google Cloud Platform products to demonstrate and prototype integrations in customer/partner environments. Travel as required around EMEA for meetings, technical reviews and onsite delivery activities.
Prepare and deliver product messaging in an effort to highlight the Google Cloud Platform value proposition, using techniques to include whiteboard and slide presentations, product demonstrations, white papers, trial management and RFI response documents.
Make recommendations on the integration strategies, enterprise architectures, platforms and application infrastructure required to successfully implement a complete solution, providing best practice advice to customers to optimize Google Cloud Platform effectiveness.","BA/BS degree in Computer Science, or a related software engineering field, or equivalent practical experience.
Experience in data, information lifecycle management and Big Data. Experience using and/or managing databases, and with one or all of the following: MapReduce, Hadoop, Spark, Flume, Hive, Impala, Spark SQL and/or BigQuery.
Experience across of cloud computing (infrastructure, storage, platforms and data), as well as the cloud market, competitive dynamics and customer buying behavior.
Ability to speak and write in English fluently and idiomatically.","Master's degree in Computer Science or a related technical field.
Experience serving as a Technical Sales Engineer in a cloud computing environment or equivalent experience in a customer facing role (including working as a member of a professional services or systems engineering team). Experience with Big Data, Platform/Infrastructure-as-a-Service (PaaS/IaaS) technologies.
Experience in writing code in a common web or mobile development language such as Java, JavaScript, Python, Go and PHP. Experience developing for Android or iOS platforms.
Experience with developing data warehousing, batch or real-time event processing and ETL workflows solutions which could include architecture, implementing, tuning, schema design, and query optimization of scalable and distributed systems.
Working knowledge of Linux, Web 2.0 development platforms, solutions, and related technologies (HTTP, Basic/NTLM, sessions, XML/XSLT/XHTML/HTML). Demonstrated understanding of DNS, TCP, Firewalls, Proxy Servers, Load Balancing, VPN and VPC.
Ability to quickly learn, understand and work with new and emerging technologies, methodologies, and solutions in the cloud/IT technology space."
15,Google,Technical Contracts Manager,"Mountain View, CA, United States","Coordinate and facilitate between internal teams to gain feedback and insight into agreements and initiatives.
Advise business development and technology management teams, as well as legal on risks around technical solutions and service level commitments.
Work with key stakeholders to create, draft and communicate implementation standards to facilitate smoother operations and improve decision making.
Review and approve technical agreement terms.","BA/BS degree in Business, Computer Science or related technology field, or equivalent practical experience.
1-year of experience in process and project management.","MBA, MS, JD or other advanced degree.
2 years of experience working with internet products and technologies.
Experience drafting, reviewing and approving agreements and/or statements of work.
Expertise in analytical and structured problem-solving operations.
Effective leadership, management and collaboration skills in a cross-functional team environment.
Excellent communication skills and attention to detail, with the ability to operate in a fast-paced, dynamic environment."
16,Google,"Solutions Architect, Healthcare and Life Sciences, Google Cloud","Sunnyvale, CA, United States","Help compile customer requirements as well as survey existing customer IT landscape to enable integrations from PoC stage to a full deployment of products managing healthcare and/or life sciences data in Google Cloud.
Define the business case for solutions, design solutions to help prototype and develop the customer’s new environment, and guide solutions through launch to market. Create training materials, guides, demonstrations and white papers and help scale solutions delivery.
Engage standards communities to drive the development of standards that meet platform and customer needs, and ensure that standards implementers know what the Google Cloud Healthcare platform can do for them.
Demonstrate thought leadership in cloud computing across multiple channels and become a trusted advisor to decision makers. Provide customer and market feedback to the Product and Engineering teams and help shape product direction.
Travel as required in-region for meetings, technical reviews and onsite delivery activities.","BA/BS degree in Computer Science, related Software Engineering field or equivalent practical experience.
Experience working in a cloud computing environment (infrastructure, storage, platforms and/or data).
Experience working in a healthcare and/or life science domain, including deploying solutions in healthcare and/or life sciences related IT infrastructure.
Experience in writing software in one or more languages such as Java, Python, Go, JavaScript, C++, or similar.","Master's degree in Computer Science, related Engineering field, or equivalent work experience.
5 years of experience working with a variety of technology systems, designing solutions or developing applications in healthcare and/or life science environments.
Experience working closely with Sales and Marketing teams in cloud computing or related technical fields.
Understanding of current trends of healthcare and/or life sciences infrastructure, (including databases, enterprise integration buses, protocols, APIs and formats), security, networking and cloud-based delivery models.
Ability to communicate complex technical concepts in an approachable way for broad audiences, empowering them with memorable and useful information."
17,Google,"Vendor Operations Specialist (EMEA), Google Technical Services Consumers","Dublin, Ireland","Support the management of outsourced operations as well as workforce management in EMEA region.
Achieve strategic business goals for vendor workforce in terms of customer experience, service levels, quality, delivery of service and cost.
Monitor daily performance, collect and analyze data in order to recognize trends and potential issues across key performance metrics.
Support vendor selection, agreements and overall vendor operations strategy, while leading regular business reviews and manage vendor relationships.
Work closely with various internal groups to understand business requirements, implement new products or processes, participate in workforce planning and budgeting activities, and contribute to ongoing process improvements.","Bachelor's degree or equivalent practical experience.
Work experience in customer service and/or contact center operations.
Experience in vendor management and/or Workforce Management in a contact center environment.
Ability to travel up to 20% of the time.","Project management experience.
Resource Planning experience in a multi-lingual, multi-site, contact center environment.
Understanding of Cost Management principles in the outsource contact centre industry.
Knowledge of vendor operations strategy, performance management as well as contracts and negotiation principles.
Strong business acumen with strong analytical and structured problem solving capabilities.
Exceptional leadership, management, communication and collaboration skills."
18,Google,"Solution Architect, Google Cloud Platform (Apigee)","Berlin, Germany","Produce required design specifications, provide technical leadership and architectural mentorship and help customers build quality technical solutions/implementations with on-premises, cloud and hybrid cloud-based Apigee solution.
Work closely with geographically distributed Apigee and Customer project teams to align the technical requirements and the solution design with the customer's business drivers and in order to demonstrate our value.
Act as a liaison for the engineering and product teams to commercialize solutions with partners and customers.
Travel up to 50% of the time.","BA/BS degree in a technical or engineering field or equivalent practical experience.
Programming experience in one or more of the following: Java, Python, JavaScript, NodeJS, C#, NET, Ruby.
Ability to speak and write in English and German or French fluently and idiomatically.","Experience with or deep understanding of private, public and hybrid cloud design considerations and limitations in the areas of virtualization and global infrastructure, distributed systems, load balancing and networking, and security.
Experience in architecting and/or implementing API based solutions with sound hands-on familiarity with related standards such as HTTP, REST, SOAP and OAuth.
Ability to communicate effectively and influence stakeholders in internal and external engineering teams, product development teams, sales operations teams as well as external Google partners and end consumers.
Excellent presentation, verbal and written communication skills."
19,Google,"Solutions Architect, Healthcare and Life Sciences, Google Cloud","Cambridge, MA, United States","Help compile customer requirements as well as survey existing customer IT landscape to enable integrations from PoC stage to a full deployment of products managing healthcare and/or life sciences data in Google Cloud.
Define the business case for solutions, design solutions to help prototype and develop the customer’s new environment, and guide solutions through launch to market. Create training materials, guides, demonstrations and white papers and help scale solutions delivery.
Engage standards communities to drive the development of standards that meet platform and customer needs, and ensure that standards implementers know what the Google Cloud Healthcare platform can do for them.
Demonstrate thought leadership in cloud computing across multiple channels and become a trusted advisor to decision makers. Provide customer and market feedback to the Product and Engineering teams and help shape product direction.
Travel as required in-region for meetings, technical reviews and onsite delivery activities.","BA/BS degree in Computer Science, related Software Engineering field or equivalent practical experience.
Experience working in a cloud computing environment (infrastructure, storage, platforms and/or data).
Experience working in a healthcare and/or life science domain, including deploying solutions in healthcare and/or life sciences related IT infrastructure.
Experience in writing software in one or more languages such as Java, Python, Go, JavaScript, C++, or similar.","Master's degree in Computer Science, related Engineering field, or equivalent work experience.
5 years of experience working with a variety of technology systems, designing solutions or developing applications in healthcare and/or life science environments.
Experience working closely with Sales and Marketing teams in cloud computing or related technical fields.
Understanding of current trends of healthcare and/or life sciences infrastructure, (including databases, enterprise integration buses, protocols, APIs and formats), security, networking and cloud-based delivery models.
Ability to communicate complex technical concepts in an approachable way for broad audiences, empowering them with memorable and useful information."
20,Google,Measurement and Attribution Specialist (Northern Europe),"Dublin, Ireland","Work intensively on a project basis with our clients in order to help them solve their measurement and attribution challenges, leading to extensive incremental business growth.
Work closely with local Sales teams to open doors for clients. Scale your knowledge to the local Account Team so that they can scale this further to the rest of their accounts.
Work closely with the EMEA-wide expert knowledge community to stay updated and contribute to excellent community knowledge. Strive to constantly increase your own knowledge and the knowledge of those around you.
Build a thorough knowledge of how clients and agencies can use Google measurement solutions to meet their marketing objectives.","BA/BS degree or equivalent practical experience.
Experience in consultative sales and client-facing experience.
Experience in presenting to clients and stakeholders, and working in multicultural, cross-functional teams.","Relevant experience in creating online marketing and advertising strategies for performance focused clients.
Extensive experience with running online ad effectiveness tests and experiments.
Experience working with attribution models.
Advanced knowledge of Google Analytics and other analytics tools (e.g. Adobe, SiteCatalyst, Piwik etc.).
Excellent presentation and communication skills.
Ability to speak and write in English fluently and idiomatically, along with the ability to speak and write in one of the following languages: Norwegian, Swedish, Finnish or Danish."
21,Google,"Solutions Engineer, Google Cloud Healthcare and Life Sciences","Waterloo, ON, Canada","Work with the team to identify and qualify business opportunities, identify key customer technical objections and develop the strategy to resolve technical impediments.
Manage the technical relationship with Google’s customers, including managing product and solution briefings, proof-of-concept work, and the coordination of additional technical resources.
Work directly with customers to demonstrate and prototype Google Cloud product integrations in customer/partner environments.
Recommend integration strategies, enterprise architectures, platforms and application infrastructure required to successfully implement a complete solution using best practices on Google Cloud.
Travel to customer sites, conferences, and other related events as required.","BA/BS degree in Computer Science or related software engineering field, or equivalent practical experience.
Experience with Big Data, PaaS, and IaaS technologies as well as healthcare and life sciences technologies and IT ecosystem.
Experience with one or more of the following: distributed compute environments, application development, mobile development, big data analytics, cloud computing including virtualization, hosted services, multi tenant cloud infrastructures, storage systems and/or content delivery networks.
Experience in writing software in one or more languages such as Java, Python, Go, JavaScript, C++, or similar.","Master's degree in Computer Science, Biomedical Engineering or other technical field.
Experience with networking concepts including: routing, VPNs, load balancers, and firewalls.
Experience in and understanding of data and information management - especially as it relates to healthcare and life sciences data and informatics, including understanding of compliance and regulatory environment.
Experience architecting and developing software or infrastructure for scalable, distributed systems in healthcare and life sciences.
Ability to quickly learn, understand, and work with new emerging technologies, methodologies and solutions in the cloud/IT technology space."
22,Google,"Technical Specialist, Google Technical Services, Ads","Sydney, Australia","Implement, troubleshoot and support complex technical solutions with DoubleClick advertising products to drive customer success and product adoption.
Understand requirements, provide technical consultation and develop custom technical solutions to meet the complex needs of advertisers.
Contribute to product development by identifying gaps and deficiencies in current product offerings at a pod or product level to drive both operational efficiencies and business growth, collaborating with client services, product management and engineering teams to drive innovation.
Build strong relationships with the sales team and end advertisers/agencies to understand their key challenges and present/implement scalable technical solution proactively to earn the status of trusted advisor.","BA/BS degree in Computer Science or related technical field or equivalent practical experience.
Experience with client side web technologies; HTML, CSS, JavaScript, and exposure to SQL
Customer-facing experience either as a technical consultant, support, engineer or product manager involving pro-active engagement with customers (internal/external).","MBA or MS degree.
4 years of relevant experience overall as a technical consultant and/or sales engineer. 2 years of experience in digital ad products (DoubleClick or competitive offerings).
Experience building/troubleshooting web pages using HTML, JS, CSS and/or Chrome developer tools.
Knowledge in scripting in one of the scripting languages such as Python/Google Apps Script.
Working knowledge of relational databases and ability to construct SQL queries to analyze data
Excellent written and oral communication skills with proven ability to quickly absorb technical concepts and effectively communicate them to a non-technical audience. Ability to work independently and manage multiple projects simultaneously. Creative problem solving, strong analytical and project management skills."
23,Google,"Strategic Cloud Engineer, Google Cloud Professional Services","München, Germany","Consult with customers on technical issues based on in-depth product and technical knowledge.
Develop technical tools and documentation to expedite implementations and improve product serviceability.
Act as a liaison for the engineering and product teams to commercialize solutions with partners and customers.
Provide product solution improvements and market opportunities to Product Managers and Engineering.
Provide highly technical implementation support in customer environment, including guidance on implementation feasibility of cross-product integrations.","BS degree in a technical or engineering field or equivalent practical experience.
Programming experience in one or more of the following: Java, Python, JavaScript, NodeJS, C#, NET, Ruby.
Experience with database design and querying (e.g., SQL, MySQL, MapReduce, Hadoop).
Experience in Big Data within the cloud, including data analytics and data warehousing.","Experience with open source software (such as Cassandra, MongoDB, RabbitMQ) and enterprise Content Management or Business Applications (CRM, ERP, etc.).
Experience in Google Cloud Platform and/or other public cloud products.
Understanding of solution architecture within web and mobile environments and technical experience of web/internet related technologies, architecture across SAAS, PAAS and IAAS and competitive cloud productivity suites. Familiarity with architecture and operational aspects of large scale distributed systems; Familiarity with the popular technologies in the machine learning/big data ecosystem (Tensorflow, Spark, etc)
Technical experience in Web technologies such as HTML, XML, JSON, OAuth 2 along with experience in analysis of relational data in MySQL, Google BigQuery or similar.
Ability to work and communicate effectively and influence stakeholders in internal and external engineering teams, product development teams, sales ops teams as well as external Google partners and end consumers.
Excellent presentation, verbal and written communication skills."
